financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
1997-98,NT,Administration,Government,Australian Government,10
1997-98,NT,Administration,Government,State and local,20
1997-98,NT,Aids and appliances,Government,Australian Government,2
1997-98,NT,All other medications,Government,Australian Government,0
1997-98,NT,All other medications,Government,State and local,2
1997-98,NT,Benefit-paid pharmaceuticals,Government,Australian Government,10
1997-98,NT,Capital expenditure,Government,Australian Government,1
1997-98,NT,Capital expenditure,Government,State and local,6
1997-98,NT,Community health,Government,Australian Government,49
1997-98,NT,Community health,Government,State and local,186
1997-98,NT,Dental services,Government,Australian Government,0
1997-98,NT,Dental services,Government,State and local,9
1997-98,NT,Medical expense tax rebate,Government,Australian Government,1
1997-98,NT,Medical services,Government,Australian Government,62
1997-98,NT,Other health practitioners,Government,Australian Government,2
1997-98,NT,Patient transport services,Government,Australian Government,4
1997-98,NT,Patient transport services,Government,State and local,0
1997-98,NT,Private hospitals,Government,Australian Government,2
1997-98,NT,Public health,Government,Australian Government,10
1997-98,NT,Public health,Government,State and local,45
1997-98,NT,Public hospitals,Government,Australian Government,134
1997-98,NT,Public hospitals,Government,State and local,89
1997-98,NT,Research,Government,Australian Government,5
1997-98,NT,Research,Government,State and local,3
1998-99,NSW,Administration,Government,Australian Government,306
1998-99,NSW,Administration,Government,State and local,0
1998-99,NSW,Aids and appliances,Government,Australian Government,67
1998-99,NSW,All other medications,Government,Australian Government,8
1998-99,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,1155
1998-99,NSW,Capital expenditure,Government,Australian Government,31
1998-99,NSW,Capital expenditure,Government,State and local,255
1998-99,NSW,Community health,Government,Australian Government,187
1998-99,NSW,Community health,Government,State and local,1274
1998-99,NSW,Dental services,Government,Australian Government,115
1998-99,NSW,Dental services,Government,State and local,123
1998-99,NSW,Medical expense tax rebate,Government,Australian Government,92
1998-99,NSW,Medical services,Government,Australian Government,4361
1998-99,NSW,Other health practitioners,Government,Australian Government,151
1998-99,NSW,Patient transport services,Government,Australian Government,38
1998-99,NSW,Patient transport services,Government,State and local,117
1998-99,NSW,Private hospitals,Government,Australian Government,444
1998-99,NSW,Public health,Government,Australian Government,165
1998-99,NSW,Public health,Government,State and local,78
1998-99,NSW,Public hospitals,Government,Australian Government,3410
1998-99,NSW,Public hospitals,Government,State and local,4204
1998-99,NSW,Research,Government,Australian Government,208
1998-99,NSW,Research,Government,State and local,57
1998-99,VIC,Administration,Government,Australian Government,195
1998-99,VIC,Aids and appliances,Government,Australian Government,43
1998-99,VIC,All other medications,Government,Australian Government,5
1998-99,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,781
1998-99,VIC,Capital expenditure,Government,Australian Government,24
1998-99,VIC,Capital expenditure,Government,State and local,259
1998-99,VIC,Community health,Government,Australian Government,116
1998-99,VIC,Community health,Government,State and local,387
1998-99,VIC,Dental services,Government,Australian Government,52
1998-99,VIC,Dental services,Government,State and local,82
1998-99,VIC,Medical expense tax rebate,Government,Australian Government,60
1998-99,VIC,Medical services,Government,Australian Government,3009
1998-99,VIC,Other health practitioners,Government,Australian Government,104
1998-99,VIC,Patient transport services,Government,Australian Government,11
1998-99,VIC,Patient transport services,Government,State and local,109
1998-99,VIC,Private hospitals,Government,Australian Government,340
1998-99,VIC,Public health,Government,Australian Government,108
1998-99,VIC,Public health,Government,State and local,120
1998-99,VIC,Public hospitals,Government,Australian Government,2342
1998-99,VIC,Public hospitals,Government,State and local,2046
1998-99,VIC,Research,Government,Australian Government,245
1998-99,VIC,Research,Government,State and local,27
1998-99,QLD,Administration,Government,Australian Government,152
1998-99,QLD,Administration,Government,State and local,54
1998-99,QLD,Aids and appliances,Government,Australian Government,33
1998-99,QLD,All other medications,Government,Australian Government,4
1998-99,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,576
1998-99,QLD,Capital expenditure,Government,Australian Government,23
1998-99,QLD,Capital expenditure,Government,State and local,253
1998-99,QLD,Community health,Government,Australian Government,118
1998-99,QLD,Community health,Government,State and local,634
1998-99,QLD,Dental services,Government,Australian Government,52
1998-99,QLD,Dental services,Government,State and local,150
1998-99,QLD,Medical expense tax rebate,Government,Australian Government,38
1998-99,QLD,Medical services,Government,Australian Government,2209
1998-99,QLD,Other health practitioners,Government,Australian Government,93
1998-99,QLD,Patient transport services,Government,Australian Government,19
1998-99,QLD,Patient transport services,Government,State and local,196
1998-99,QLD,Private hospitals,Government,Australian Government,402
1998-99,QLD,Public health,Government,Australian Government,95
1998-99,QLD,Public health,Government,State and local,98
1998-99,QLD,Public hospitals,Government,Australian Government,1758
1998-99,QLD,Public hospitals,Government,State and local,1755
1998-99,QLD,Research,Government,Australian Government,115
1998-99,QLD,Research,Government,State and local,28
1998-99,WA,Administration,Government,Australian Government,89
1998-99,WA,Administration,Government,State and local,19
1998-99,WA,Aids and appliances,Government,Australian Government,20
1998-99,WA,All other medications,Government,Australian Government,3
1998-99,WA,Benefit-paid pharmaceuticals,Government,Australian Government,258
1998-99,WA,Capital expenditure,Government,Australian Government,13
1998-99,WA,Capital expenditure,Government,State and local,160
1998-99,WA,Community health,Government,Australian Government,88
1998-99,WA,Community health,Government,State and local,235
1998-99,WA,Dental services,Government,Australian Government,39
1998-99,WA,Dental services,Government,State and local,61
1998-99,WA,Medical expense tax rebate,Government,Australian Government,17
1998-99,WA,Medical services,Government,Australian Government,1078
1998-99,WA,Other health practitioners,Government,Australian Government,41
1998-99,WA,Patient transport services,Government,Australian Government,17
1998-99,WA,Patient transport services,Government,State and local,37
1998-99,WA,Private hospitals,Government,Australian Government,155
1998-99,WA,Public health,Government,Australian Government,57
1998-99,WA,Public health,Government,State and local,59
1998-99,WA,Public hospitals,Government,Australian Government,949
1998-99,WA,Public hospitals,Government,State and local,1059
1998-99,WA,Research,Government,Australian Government,64
1998-99,WA,Research,Government,State and local,14
1998-99,SA,Administration,Government,Australian Government,77
1998-99,SA,Administration,Government,State and local,110
1998-99,SA,Aids and appliances,Government,Australian Government,16
1998-99,SA,All other medications,Government,Australian Government,3
1998-99,SA,Benefit-paid pharmaceuticals,Government,Australian Government,263
1998-99,SA,Capital expenditure,Government,Australian Government,8
1998-99,SA,Capital expenditure,Government,State and local,93
1998-99,SA,Community health,Government,Australian Government,65
1998-99,SA,Community health,Government,State and local,286
1998-99,SA,Dental services,Government,Australian Government,27
1998-99,SA,Dental services,Government,State and local,45
1998-99,SA,Medical expense tax rebate,Government,Australian Government,13
1998-99,SA,Medical services,Government,Australian Government,876
1998-99,SA,Other health practitioners,Government,Australian Government,34
1998-99,SA,Patient transport services,Government,Australian Government,7
1998-99,SA,Patient transport services,Government,State and local,56
1998-99,SA,Private hospitals,Government,Australian Government,84
1998-99,SA,Public health,Government,Australian Government,46
1998-99,SA,Public health,Government,State and local,80
1998-99,SA,Public hospitals,Government,Australian Government,860
1998-99,SA,Public hospitals,Government,State and local,864
1998-99,SA,Research,Government,Australian Government,95
1998-99,SA,Research,Government,State and local,7
1998-99,TAS,Administration,Government,Australian Government,24
1998-99,TAS,Administration,Government,State and local,4
1998-99,TAS,Aids and appliances,Government,Australian Government,5
1998-99,TAS,All other medications,Government,Australian Government,1
1998-99,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,89
1998-99,TAS,Capital expenditure,Government,Australian Government,4
1998-99,TAS,Capital expenditure,Government,State and local,25
1998-99,TAS,Community health,Government,Australian Government,17
1998-99,TAS,Community health,Government,State and local,135
1998-99,TAS,Dental services,Government,Australian Government,7
1998-99,TAS,Dental services,Government,State and local,16
1998-99,TAS,Medical expense tax rebate,Government,Australian Government,3
1998-99,TAS,Medical services,Government,Australian Government,267
1998-99,TAS,Other health practitioners,Government,Australian Government,12
1998-99,TAS,Patient transport services,Government,Australian Government,2
1998-99,TAS,Patient transport services,Government,State and local,23
1998-99,TAS,Private hospitals,Government,Australian Government,42
1998-99,TAS,Public health,Government,Australian Government,19
1998-99,TAS,Public health,Government,State and local,31
1998-99,TAS,Public hospitals,Government,Australian Government,221
1998-99,TAS,Public hospitals,Government,State and local,193
1998-99,TAS,Research,Government,Australian Government,8
1998-99,TAS,Research,Government,State and local,2
1998-99,ACT,Administration,Government,Australian Government,54
1998-99,ACT,Administration,Government,State and local,19
1998-99,ACT,Aids and appliances,Government,Australian Government,2
1998-99,ACT,All other medications,Government,Australian Government,1
1998-99,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,36
1998-99,ACT,Capital expenditure,Government,Australian Government,12
1998-99,ACT,Capital expenditure,Government,State and local,19
1998-99,ACT,Community health,Government,Australian Government,7
1998-99,ACT,Community health,Government,State and local,97
1998-99,ACT,Dental services,Government,Australian Government,2
1998-99,ACT,Dental services,Government,State and local,9
1998-99,ACT,Medical expense tax rebate,Government,Australian Government,7
1998-99,ACT,Medical services,Government,Australian Government,178
1998-99,ACT,Other health practitioners,Government,Australian Government,6
1998-99,ACT,Patient transport services,Government,Australian Government,0
1998-99,ACT,Patient transport services,Government,State and local,7
1998-99,ACT,Private hospitals,Government,Australian Government,10
1998-99,ACT,Public health,Government,Australian Government,12
1998-99,ACT,Public health,Government,State and local,13
1998-99,ACT,Public hospitals,Government,Australian Government,126
1998-99,ACT,Public hospitals,Government,State and local,255
1998-99,ACT,Research,Government,Australian Government,65
1998-99,ACT,Research,Government,State and local,10
1998-99,NT,Administration,Government,Australian Government,7
1998-99,NT,Administration,Government,State and local,8
1998-99,NT,Aids and appliances,Government,Australian Government,2
1998-99,NT,All other medications,Government,Australian Government,1
1998-99,NT,Benefit-paid pharmaceuticals,Government,Australian Government,11
1998-99,NT,Capital expenditure,Government,Australian Government,3
1998-99,NT,Capital expenditure,Government,State and local,8
1998-99,NT,Community health,Government,Australian Government,53
1998-99,NT,Community health,Government,State and local,117
1998-99,NT,Dental services,Government,Australian Government,1
1998-99,NT,Dental services,Government,State and local,9
1998-99,NT,Medical expense tax rebate,Government,Australian Government,1
1998-99,NT,Medical services,Government,Australian Government,58
1998-99,NT,Other health practitioners,Government,Australian Government,3
1998-99,NT,Patient transport services,Government,Australian Government,5
1998-99,NT,Patient transport services,Government,State and local,27
1998-99,NT,Private hospitals,Government,Australian Government,5
1998-99,NT,Public health,Government,Australian Government,15
1998-99,NT,Public health,Government,State and local,43
1998-99,NT,Public hospitals,Government,Australian Government,123
1998-99,NT,Public hospitals,Government,State and local,114
1998-99,NT,Research,Government,Australian Government,5
1998-99,NT,Research,Government,State and local,4
1999-00,NSW,Administration,Government,Australian Government,357
1999-00,NSW,Aids and appliances,Government,Australian Government,101
1999-00,NSW,All other medications,Government,Australian Government,11
1999-00,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,1313
1999-00,NSW,Capital expenditure,Government,Australian Government,8
1999-00,NSW,Capital expenditure,Government,State and local,372
1999-00,NSW,Community health,Government,Australian Government,77
1999-00,NSW,Community health,Government,State and local,1177
1999-00,NSW,Dental services,Government,Australian Government,144
1999-00,NSW,Dental services,Government,State and local,135
1999-00,NSW,Medical expense tax rebate,Government,Australian Government,101
1999-00,NSW,Medical services,Government,Australian Government,4555
1999-00,NSW,Other health practitioners,Government,Australian Government,168
1999-00,NSW,Patient transport services,Government,Australian Government,50
1999-00,NSW,Patient transport services,Government,State and local,194
1999-00,NSW,Private hospitals,Government,Australian Government,596
1999-00,NSW,Public health,Government,Australian Government,224
1999-00,NSW,Public health,Government,State and local,178
1999-00,NSW,Public hospitals,Government,Australian Government,3480
1999-00,NSW,Public hospitals,Government,State and local,3925
1999-00,NSW,Research,Government,Australian Government,273
1999-00,NSW,Research,Government,State and local,52
1999-00,VIC,Administration,Government,Australian Government,255
1999-00,VIC,Administration,Government,State and local,97
1999-00,VIC,Aids and appliances,Government,Australian Government,70
1999-00,VIC,All other medications,Government,Australian Government,5
1999-00,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,896
1999-00,VIC,Capital expenditure,Government,Australian Government,8
1999-00,VIC,Capital expenditure,Government,State and local,339
1999-00,VIC,Community health,Government,Australian Government,26
1999-00,VIC,Community health,Government,State and local,534
1999-00,VIC,Dental services,Government,Australian Government,67
1999-00,VIC,Dental services,Government,State and local,156
1999-00,VIC,Medical expense tax rebate,Government,Australian Government,67
1999-00,VIC,Medical services,Government,Australian Government,3185
1999-00,VIC,Other health practitioners,Government,Australian Government,108
1999-00,VIC,Patient transport services,Government,Australian Government,16
1999-00,VIC,Patient transport services,Government,State and local,93
1999-00,VIC,Private hospitals,Government,Australian Government,485
1999-00,VIC,Public health,Government,Australian Government,140
1999-00,VIC,Public health,Government,State and local,149
1999-00,VIC,Public hospitals,Government,Australian Government,2391
1999-00,VIC,Public hospitals,Government,State and local,2244
1999-00,VIC,Research,Government,Australian Government,337
1999-00,VIC,Research,Government,State and local,108
1999-00,QLD,Administration,Government,Australian Government,219
1999-00,QLD,Administration,Government,State and local,74
1999-00,QLD,Aids and appliances,Government,Australian Government,55
1999-00,QLD,All other medications,Government,Australian Government,6
1999-00,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,638
1999-00,QLD,Capital expenditure,Government,Australian Government,16
1999-00,QLD,Capital expenditure,Government,State and local,672
1999-00,QLD,Community health,Government,Australian Government,71
1999-00,QLD,Community health,Government,State and local,939
1999-00,QLD,Dental services,Government,Australian Government,67
1999-00,QLD,Dental services,Government,State and local,148
1999-00,QLD,Medical expense tax rebate,Government,Australian Government,40
1999-00,QLD,Medical services,Government,Australian Government,2320
1999-00,QLD,Other health practitioners,Government,Australian Government,92
1999-00,QLD,Patient transport services,Government,Australian Government,21
1999-00,QLD,Patient transport services,Government,State and local,212
1999-00,QLD,Private hospitals,Government,Australian Government,512
1999-00,QLD,Public health,Government,Australian Government,116
1999-00,QLD,Public health,Government,State and local,99
1999-00,QLD,Public hospitals,Government,Australian Government,1761
1999-00,QLD,Public hospitals,Government,State and local,1859
1999-00,QLD,Research,Government,Australian Government,144
1999-00,QLD,Research,Government,State and local,24
1999-00,WA,Administration,Government,Australian Government,145
1999-00,WA,Administration,Government,State and local,60
1999-00,WA,Aids and appliances,Government,Australian Government,29
1999-00,WA,All other medications,Government,Australian Government,4
1999-00,WA,Benefit-paid pharmaceuticals,Government,Australian Government,294
1999-00,WA,Capital expenditure,Government,Australian Government,3
1999-00,WA,Capital expenditure,Government,State and local,105
1999-00,WA,Community health,Government,Australian Government,47
1999-00,WA,Community health,Government,State and local,259
1999-00,WA,Dental services,Government,Australian Government,54
1999-00,WA,Dental services,Government,State and local,53
1999-00,WA,Medical expense tax rebate,Government,Australian Government,18
1999-00,WA,Medical services,Government,Australian Government,1133
1999-00,WA,Other health practitioners,Government,Australian Government,47
1999-00,WA,Patient transport services,Government,Australian Government,20
1999-00,WA,Patient transport services,Government,State and local,39
1999-00,WA,Private hospitals,Government,Australian Government,218
1999-00,WA,Public health,Government,Australian Government,60
1999-00,WA,Public health,Government,State and local,79
1999-00,WA,Public hospitals,Government,Australian Government,973
1999-00,WA,Public hospitals,Government,State and local,1141
1999-00,WA,Research,Government,Australian Government,91
1999-00,WA,Research,Government,State and local,18
1999-00,SA,Administration,Government,Australian Government,147
1999-00,SA,Administration,Government,State and local,127
1999-00,SA,Aids and appliances,Government,Australian Government,23
1999-00,SA,All other medications,Government,Australian Government,4
1999-00,SA,Benefit-paid pharmaceuticals,Government,Australian Government,299
1999-00,SA,Capital expenditure,Government,Australian Government,1
1999-00,SA,Capital expenditure,Government,State and local,138
1999-00,SA,Community health,Government,Australian Government,25
1999-00,SA,Community health,Government,State and local,279
1999-00,SA,Dental services,Government,Australian Government,36
1999-00,SA,Dental services,Government,State and local,44
1999-00,SA,Medical expense tax rebate,Government,Australian Government,14
1999-00,SA,Medical services,Government,Australian Government,914
1999-00,SA,Other health practitioners,Government,Australian Government,40
1999-00,SA,Patient transport services,Government,Australian Government,12
1999-00,SA,Patient transport services,Government,State and local,52
1999-00,SA,Private hospitals,Government,Australian Government,133
1999-00,SA,Public health,Government,Australian Government,56
1999-00,SA,Public health,Government,State and local,64
1999-00,SA,Public hospitals,Government,Australian Government,981
1999-00,SA,Public hospitals,Government,State and local,885
1999-00,SA,Research,Government,Australian Government,122
1999-00,SA,Research,Government,State and local,19
1999-00,TAS,Administration,Government,Australian Government,62
1999-00,TAS,Administration,Government,State and local,0
1999-00,TAS,Aids and appliances,Government,Australian Government,7
1999-00,TAS,All other medications,Government,Australian Government,2
1999-00,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,101
1999-00,TAS,Capital expenditure,Government,Australian Government,1
1999-00,TAS,Capital expenditure,Government,State and local,8
1999-00,TAS,Community health,Government,Australian Government,8
1999-00,TAS,Community health,Government,State and local,150
1999-00,TAS,Dental services,Government,Australian Government,9
1999-00,TAS,Dental services,Government,State and local,0
1999-00,TAS,Medical expense tax rebate,Government,Australian Government,3
1999-00,TAS,Medical services,Government,Australian Government,282
1999-00,TAS,Other health practitioners,Government,Australian Government,13
1999-00,TAS,Patient transport services,Government,Australian Government,2
1999-00,TAS,Patient transport services,Government,State and local,23
1999-00,TAS,Private hospitals,Government,Australian Government,56
1999-00,TAS,Public health,Government,Australian Government,24
1999-00,TAS,Public health,Government,State and local,18
1999-00,TAS,Public hospitals,Government,Australian Government,217
1999-00,TAS,Public hospitals,Government,State and local,260
1999-00,TAS,Research,Government,Australian Government,21
1999-00,TAS,Research,Government,State and local,6
1999-00,ACT,Administration,Government,Australian Government,119
1999-00,ACT,Administration,Government,State and local,70
1999-00,ACT,Aids and appliances,Government,Australian Government,4
1999-00,ACT,All other medications,Government,Australian Government,1
1999-00,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,45
1999-00,ACT,Capital expenditure,Government,Australian Government,0
1999-00,ACT,Capital expenditure,Government,State and local,14
1999-00,ACT,Community health,Government,Australian Government,2
1999-00,ACT,Community health,Government,State and local,219
1999-00,ACT,Dental services,Government,Australian Government,3
1999-00,ACT,Dental services,Government,State and local,6
1999-00,ACT,Medical expense tax rebate,Government,Australian Government,7
1999-00,ACT,Medical services,Government,Australian Government,188
1999-00,ACT,Other health practitioners,Government,Australian Government,8
1999-00,ACT,Patient transport services,Government,Australian Government,2
1999-00,ACT,Patient transport services,Government,State and local,7
1999-00,ACT,Private hospitals,Government,Australian Government,17
1999-00,ACT,Public health,Government,Australian Government,15
1999-00,ACT,Public health,Government,State and local,27
1999-00,ACT,Public hospitals,Government,Australian Government,136
1999-00,ACT,Public hospitals,Government,State and local,218
1999-00,ACT,Research,Government,Australian Government,89
1999-00,ACT,Research,Government,State and local,14
1999-00,NT,Administration,Government,Australian Government,53
1999-00,NT,Administration,Government,State and local,45
1999-00,NT,Aids and appliances,Government,Australian Government,2
1999-00,NT,All other medications,Government,Australian Government,2
1999-00,NT,Benefit-paid pharmaceuticals,Government,Australian Government,12
1999-00,NT,Capital expenditure,Government,Australian Government,0
1999-00,NT,Capital expenditure,Government,State and local,9
1999-00,NT,Community health,Government,Australian Government,45
1999-00,NT,Community health,Government,State and local,126
1999-00,NT,Dental services,Government,Australian Government,1
1999-00,NT,Dental services,Government,State and local,0
1999-00,NT,Medical expense tax rebate,Government,Australian Government,1
1999-00,NT,Medical services,Government,Australian Government,61
1999-00,NT,Other health practitioners,Government,Australian Government,3
1999-00,NT,Patient transport services,Government,Australian Government,2
1999-00,NT,Patient transport services,Government,State and local,16
1999-00,NT,Private hospitals,Government,Australian Government,6
1999-00,NT,Public health,Government,Australian Government,14
1999-00,NT,Public health,Government,State and local,50
1999-00,NT,Public hospitals,Government,Australian Government,100
1999-00,NT,Public hospitals,Government,State and local,159
